Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
5.067900,0.108109,-0.005933,3.054880,0.082626,1.035232,9.702544
5.067954,0.108144,-0.005913,3.054832,0.075969,1.031163,9.698805
5.067976,0.108136,-0.005923,3.054827,0.075716,1.050395,9.712056
5.067998,0.108178,-0.005925,3.054777,0.074400,1.051794,9.704654
5.068021,0.108161,-0.005948,3.054765,0.087289,1.026262,9.699221
5.774184,0.108126,-0.005962,3.054787,0.083711,1.043861,9.709188
5.774254,0.108117,-0.005968,3.054738,0.072599,1.040309,9.710972
5.774259,0.108117,-0.005964,3.054765,0.059179,1.038363,9.695040
5.774264,0.108113,-0.005991,3.054755,0.072233,1.042931,9.709408
5.843882,0.108128,-0.005991,3.054773,0.074158,1.042261,9.692020
5.843903,0.108147,-0.005983,3.054786,0.077665,1.036746,9.709772
5.843910,0.108157,-0.005958,3.054840,0.071320,1.056135,9.697646
5.843914,0.108174,-0.005970,3.054825,0.072343,1.047927,9.693676
5.843931,0.108156,-0.005944,3.054860,0.074177,1.048594,9.713613
5.894177,0.108163,-0.005935,3.054832,0.071074,1.034744,9.699872
5.894187,0.108160,-0.005929,3.054825,0.081025,1.021258,9.713214
5.894190,0.108163,-0.005946,3.054803,0.075959,1.033901,9.713417
5.894192,0.108126,-0.005954,3.054809,0.068750,1.036947,9.704724
5.907380,0.108116,-0.005940,3.054829,0.080963,1.036681,9.700628
5.907392,0.108149,-0.005930,3.054803,0.071247,1.032560,9.702414
5.907445,0.108157,-0.005887,3.054827,0.078993,1.040361,9.707844
5.907449,0.108132,-0.005869,3.054826,0.072563,1.039254,9.691183
5.907453,0.108153,-0.005871,3.054834,0.081760,1.037516,9.702413
6.827060,0.108125,-0.005855,3.054757,0.077082,1.048622,9.710370
6.827076,0.108132,-0.005840,3.054801,0.080294,1.031762,9.701959
6.827083,0.108142,-0.005837,3.054783,0.076185,1.041754,9.695999
6.827089,0.108158,-0.005834,3.054754,0.081948,1.042219,9.719785
6.853665,0.108167,-0.005817,3.054753,0.081310,1.029603,9.717159
6.853676,0.108191,-0.005811,3.054809,0.076251,1.040181,9.707831
6.853681,0.108164,-0.005801,3.054774,0.074990,1.035617,9.705094
6.853685,0.108173,-0.005802,3.054736,0.086278,1.021621,9.697768
6.853786,0.108161,-0.005818,3.054668,0.075701,1.037403,9.710527
6.880882,0.108118,-0.005827,3.054701,0.074231,1.036350,9.706189
6.880898,0.108126,-0.005831,3.054689,0.084240,1.043137,9.702288
6.880904,0.108113,-0.005837,3.054698,0.078784,1.039230,9.715689
6.880910,0.108129,-0.005838,3.054677,0.069967,1.038979,9.718096
6.907054,0.108114,-0.005854,3.054628,0.071172,1.032379,9.703758
6.907073,0.108105,-0.005859,3.054613,0.082333,1.039665,9.696509
6.907079,0.108095,-0.005854,3.054622,0.077597,1.051817,9.701547
6.907086,0.108068,-0.005857,3.054612,0.080808,1.049133,9.702404
6.907115,0.108087,-0.005864,3.054599,0.074837,1.046825,9.704671
8.199858,0.108081,-0.005868,3.054634,0.078555,1.040689,9.708701
8.199871,0.108105,-0.005865,3.054670,0.070340,1.042424,9.708781
8.199894,0.108136,-0.005852,3.054674,0.070301,1.035254,9.717246
8.199913,0.108142,-0.005840,3.054681,0.083341,1.032571,9.694473
8.240363,0.108155,-0.005837,3.054716,0.088820,1.037228,9.690357
8.240378,0.108140,-0.005862,3.054715,0.074546,1.040787,9.704586
8.240382,0.108111,-0.005883,3.054708,0.076102,1.040387,9.700023
8.240385,0.108146,-0.005865,3.054727,0.072264,1.050320,9.713218
8.240392,0.108129,-0.005848,3.054691,0.078137,1.021828,9.697165
8.282007,0.108135,-0.005826,3.054635,0.065463,1.033762,9.714479
8.282053,0.108157,-0.005817,3.054587,0.072821,1.036453,9.708082
8.282146,0.108180,-0.005808,3.054599,0.071542,1.053499,9.715266
8.282173,0.108161,-0.005824,3.054619,0.080199,1.045657,9.704091
8.319987,0.108154,-0.005826,3.054641,0.089966,1.036533,9.701842
8.320025,0.108145,-0.005829,3.054592,0.086716,1.036492,9.704497
8.320122,0.108163,-0.005828,3.054663,0.078756,1.047046,9.704201
8.320207,0.108118,-0.005835,3.054679,0.073767,1.034752,9.702815
8.320223,0.108099,-0.005837,3.054681,0.073403,1.029186,9.709206
10.412378,0.108098,-0.005835,3.054603,0.074683,1.045406,9.708674
10.412391,0.108131,-0.005832,3.054608,0.078935,1.037110,9.710732
10.412397,0.108124,-0.005849,3.054593,0.073965,1.023890,9.711032
10.412402,0.108118,-0.005888,3.054611,0.062510,1.041739,9.692011
10.492327,0.108099,-0.005908,3.054577,0.081112,1.039026,9.710161
10.492342,0.108119,-0.005878,3.054607,0.082415,1.040808,9.703131
10.492348,0.108113,-0.005872,3.054567,0.078220,1.038420,9.705070
10.492354,0.108085,-0.005881,3.054553,0.091036,1.034303,9.709108
10.492358,0.108072,-0.005888,3.054521,0.079992,1.037732,9.698327
10.585668,0.108073,-0.005900,3.054526,0.066076,1.048941,9.712993
10.585686,0.108080,-0.005909,3.054548,0.072645,1.041028,9.711095
10.585691,0.108081,-0.005906,3.054505,0.088780,1.038277,9.704367
10.585707,0.108078,-0.005894,3.054444,0.081095,1.032658,9.706070
10.625646,0.108067,-0.005876,3.054415,0.068419,1.036349,9.705557
10.625661,0.108013,-0.005858,3.054384,0.070888,1.045628,9.702177
10.625665,0.108020,-0.005862,3.054410,0.073308,1.034037,9.704955
10.625669,0.108028,-0.005858,3.054351,0.074774,1.042662,9.696243
