Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
22.66285,23.00192,59.6606540602,10.6767697200,6614813.216,594475.878
22.82956,23.00192,59.6606540602,10.6767697200,6614813.216,594475.878
22.99687,23.00192,59.6606540602,10.6767697200,6614813.216,594475.878
23.16887,23.00192,59.6606540602,10.6767697200,6614813.216,594475.878
23.32540,23.00192,59.6606540602,10.6767697200,6614813.216,594475.878
23.51833,24.00449,59.6606550027,10.6767746717,6614813.328,594476.155
23.65622,24.00449,59.6606550027,10.6767746717,6614813.328,594476.155
23.85470,24.00449,59.6606550027,10.6767746717,6614813.328,594476.155
23.98994,24.00449,59.6606550027,10.6767746717,6614813.328,594476.155
24.15646,24.00449,59.6606550027,10.6767746717,6614813.328,594476.155
24.32235,24.00449,59.6606550027,10.6767746717,6614813.328,594476.155
24.48406,24.00449,59.6606550027,10.6767746717,6614813.328,594476.155
24.65323,25.00198,59.6606566455,10.6767798750,6614813.518,594476.443
24.81704,25.00198,59.6606566455,10.6767798750,6614813.518,594476.443
24.99169,25.00198,59.6606566455,10.6767798750,6614813.518,594476.443
25.15295,25.00198,59.6606566455,10.6767798750,6614813.518,594476.443
25.31273,25.00198,59.6606566455,10.6767798750,6614813.518,594476.443
25.47811,25.00198,59.6606566455,10.6767798750,6614813.518,594476.443
25.64295,26.00513,59.6606583457,10.6767850933,6614813.715,594476.732
25.81180,26.00513,59.6606583457,10.6767850933,6614813.715,594476.732
25.97442,26.00513,59.6606583457,10.6767850933,6614813.715,594476.732
26.14076,26.00513,59.6606583457,10.6767850933,6614813.715,594476.732
26.30484,26.00513,59.6606583457,10.6767850933,6614813.715,594476.732
26.47043,26.00513,59.6606583457,10.6767850933,6614813.715,594476.732
26.63938,27.00313,59.6606600727,10.6767900983,6614813.914,594477.010
26.80480,27.00313,59.6606600727,10.6767900983,6614813.914,594477.010
26.97149,27.00313,59.6606600727,10.6767900983,6614813.914,594477.010
27.13652,27.00313,59.6606600727,10.6767900983,6614813.914,594477.010
27.29866,27.00313,59.6606600727,10.6767900983,6614813.914,594477.010
27.46765,27.00313,59.6606600727,10.6767900983,6614813.914,594477.010
27.63282,28.00243,59.6606618277,10.6767952333,6614814.117,594477.294
27.79679,28.00243,59.6606618277,10.6767952333,6614814.117,594477.294
27.96876,28.00243,59.6606618277,10.6767952333,6614814.117,594477.294
28.15700,28.00243,59.6606618277,10.6767952333,6614814.117,594477.294
28.29531,28.00243,59.6606618277,10.6767952333,6614814.117,594477.294
28.46042,28.00243,59.6606618277,10.6767952333,6614814.117,594477.294
28.62972,29.01091,59.6606636342,10.6768000883,6614814.325,594477.562
28.80202,29.01091,59.6606636342,10.6768000883,6614814.325,594477.562
28.96842,29.01091,59.6606636342,10.6768000883,6614814.325,594477.562
29.17197,29.01091,59.6606636342,10.6768000883,6614814.325,594477.562
29.29484,29.01091,59.6606636342,10.6768000883,6614814.325,594477.562
29.46126,29.01091,59.6606636342,10.6768000883,6614814.325,594477.562
29.62693,30.01213,59.6606653732,10.6768047333,6614814.525,594477.819
29.79547,30.01213,59.6606653732,10.6768047333,6614814.525,594477.819
29.96464,30.01213,59.6606653732,10.6768047333,6614814.525,594477.819
30.13192,30.01213,59.6606653732,10.6768047333,6614814.525,594477.819
30.29513,30.01213,59.6606653732,10.6768047333,6614814.525,594477.819
30.46013,30.01213,59.6606653732,10.6768047333,6614814.525,594477.819
30.62835,30.01213,59.6606653732,10.6768047333,6614814.525,594477.819
30.79378,30.01213,59.6606653732,10.6768047333,6614814.525,594477.819
30.79378,31.00664,59.6606688762,10.6768136317,6614814.928,594478.311
30.95815,31.00664,59.6606688762,10.6768136317,6614814.928,594478.311
31.13615,31.00664,59.6606688762,10.6768136317,6614814.928,594478.311
31.28989,31.00664,59.6606688762,10.6768136317,6614814.928,594478.311
31.45901,31.00664,59.6606688762,10.6768136317,6614814.928,594478.311
31.62670,32.00707,59.6606712093,10.6768183050,6614815.194,594478.567
31.79242,32.00707,59.6606712093,10.6768183050,6614815.194,594478.567
31.95777,32.00707,59.6606712093,10.6768183050,6614815.194,594478.567
32.15075,32.00707,59.6606712093,10.6768183050,6614815.194,594478.567
32.29236,32.00707,59.6606712093,10.6768183050,6614815.194,594478.567
32.45940,32.00707,59.6606712093,10.6768183050,6614815.194,594478.567
32.62668,33.01269,59.6606739885,10.6768227867,6614815.510,594478.812
32.79402,33.01269,59.6606739885,10.6768227867,6614815.510,594478.812
32.95746,33.01269,59.6606739885,10.6768227867,6614815.510,594478.812
33.12673,33.01269,59.6606739885,10.6768227867,6614815.510,594478.812
33.29004,33.01269,59.6606739885,10.6768227867,6614815.510,594478.812
33.45680,33.01269,59.6606739885,10.6768227867,6614815.510,594478.812
33.62460,34.00606,59.6606758020,10.6768264817,6614815.717,594479.015
33.79177,34.00606,59.6606758020,10.6768264817,6614815.717,594479.015
33.95919,34.00606,59.6606758020,10.6768264817,6614815.717,594479.015
34.12395,34.00606,59.6606758020,10.6768264817,6614815.717,594479.015
34.29017,34.00606,59.6606758020,10.6768264817,6614815.717,594479.015
34.47057,34.00606,59.6606758020,10.6768264817,6614815.717,594479.015
34.62679,35.01248,59.6606777543,10.6768300667,6614815.940,594479.211
34.81567,35.01248,59.6606777543,10.6768300667,6614815.940,594479.211
34.95940,35.01248,59.6606777543,10.6768300667,6614815.940,594479.211
35.12931,35.01248,59.6606777543,10.6768300667,6614815.940,594479.211
35.29076,35.01248,59.6606777543,10.6768300667,6614815.940,594479.211
35.47740,35.01248,59.6606777543,10.6768300667,6614815.940,594479.211
35.62336,36.01259,59.6606796238,10.6768341550,6614816.154,594479.437
35.79215,36.01259,59.6606796238,10.6768341550,6614816.154,594479.437
35.95870,36.01259,59.6606796238,10.6768341550,6614816.154,594479.437
36.12328,36.01259,59.6606796238,10.6768341550,6614816.154,594479.437
36.29129,36.01259,59.6606796238,10.6768341550,6614816.154,594479.437
36.45766,36.01259,59.6606796238,10.6768341550,6614816.154,594479.437
36.62758,37.00896,59.6606815422,10.6768379350,6614816.373,594479.644
36.79559,37.00896,59.6606815422,10.6768379350,6614816.373,594479.644
36.95713,37.00896,59.6606815422,10.6768379350,6614816.373,594479.644
37.14002,37.00896,59.6606815422,10.6768379350,6614816.373,594479.644
37.29002,37.00896,59.6606815422,10.6768379350,6614816.373,594479.644
37.45772,37.00896,59.6606815422,10.6768379350,6614816.373,594479.644
37.65347,38.00827,59.6606830900,10.6768418067,6614816.551,594479.858
37.79393,38.00827,59.6606830900,10.6768418067,6614816.551,594479.858
37.95794,38.00827,59.6606830900,10.6768418067,6614816.551,594479.858
38.12562,38.00827,59.6606830900,10.6768418067,6614816.551,594479.858
38.29214,38.00827,59.6606830900,10.6768418067,6614816.551,594479.858
38.46085,38.00827,59.6606830900,10.6768418067,6614816.551,594479.858
38.62731,39.01431,59.6606842525,10.6768462767,6614816.686,594480.106
38.79476,39.01431,59.6606842525,10.6768462767,6614816.686,594480.106
38.96141,39.01431,59.6606842525,10.6768462767,6614816.686,594480.106
39.14133,39.01431,59.6606842525,10.6768462767,6614816.686,594480.106
39.29521,39.01431,59.6606842525,10.6768462767,6614816.686,594480.106
39.45721,39.01431,59.6606842525,10.6768462767,6614816.686,594480.106
39.62719,40.01309,59.6606851840,10.6768508717,6614816.797,594480.363
39.79256,40.01309,59.6606851840,10.6768508717,6614816.797,594480.363
39.92427,40.01309,59.6606851840,10.6768508717,6614816.797,594480.363
40.04418,40.01309,59.6606851840,10.6768508717,6614816.797,594480.363
40.21207,40.01309,59.6606851840,10.6768508717,6614816.797,594480.363
40.37912,40.01309,59.6606851840,10.6768508717,6614816.797,594480.363
40.54347,41.01489,59.6606862787,10.6768553900,6614816.925,594480.614
40.74936,41.01489,59.6606862787,10.6768553900,6614816.925,594480.614
40.87594,41.01489,59.6606862787,10.6768553900,6614816.925,594480.614
41.08995,41.01489,59.6606862787,10.6768553900,6614816.925,594480.614
41.20448,41.01489,59.6606862787,10.6768553900,6614816.925,594480.614
41.36879,41.01489,59.6606862787,10.6768553900,6614816.925,594480.614
41.53660,42.04901,59.6606876530,10.6768603767,6614817.085,594480.891
41.70556,42.04901,59.6606876530,10.6768603767,6614817.085,594480.891
41.86700,42.04901,59.6606876530,10.6768603767,6614817.085,594480.891
42.03108,42.04901,59.6606876530,10.6768603767,6614817.085,594480.891
42.19888,42.04901,59.6606876530,10.6768603767,6614817.085,594480.891
42.36353,42.04901,59.6606876530,10.6768603767,6614817.085,594480.891
42.56266,43.01714,59.6606892253,10.6768648800,6614817.266,594481.140
42.69503,43.01714,59.6606892253,10.6768648800,6614817.266,594481.140
42.90377,43.01714,59.6606892253,10.6768648800,6614817.266,594481.140
43.02527,43.01714,59.6606892253,10.6768648800,6614817.266,594481.140
43.19576,43.01714,59.6606892253,10.6768648800,6614817.266,594481.140
43.40568,43.01714,59.6606892253,10.6768648800,6614817.266,594481.140
43.52054,43.01714,59.6606892253,10.6768648800,6614817.266,594481.140
43.69245,44.10339,59.6606915428,10.6768702717,6614817.532,594481.438
43.85937,44.10339,59.6606915428,10.6768702717,6614817.532,594481.438
44.01877,44.10339,59.6606915428,10.6768702717,6614817.532,594481.438
44.23974,44.10339,59.6606915428,10.6768702717,6614817.532,594481.438
44.34967,44.10339,59.6606915428,10.6768702717,6614817.532,594481.438
44.52746,44.10339,59.6606915428,10.6768702717,6614817.532,594481.438
44.67922,45.02763,59.6606941525,10.6768747500,6614817.829,594481.683
44.84746,45.02763,59.6606941525,10.6768747500,6614817.829,594481.683
45.01120,45.02763,59.6606941525,10.6768747500,6614817.829,594481.683
45.23686,45.02763,59.6606941525,10.6768747500,6614817.829,594481.683
45.34439,45.02763,59.6606941525,10.6768747500,6614817.829,594481.683
45.51143,45.02763,59.6606941525,10.6768747500,6614817.829,594481.683
45.67273,46.06777,59.6606959507,10.6768788783,6614818.035,594481.910
45.84265,46.06777,59.6606959507,10.6768788783,6614818.035,594481.910
46.00444,46.06777,59.6606959507,10.6768788783,6614818.035,594481.910
46.17604,46.06777,59.6606959507,10.6768788783,6614818.035,594481.910
46.33691,46.06777,59.6606959507,10.6768788783,6614818.035,594481.910
46.54020,46.06777,59.6606959507,10.6768788783,6614818.035,594481.910
46.66764,46.06777,59.6606959507,10.6768788783,6614818.035,594481.910
46.83420,46.06777,59.6606959507,10.6768788783,6614818.035,594481.910
46.83420,47.06387,59.6606999177,10.6768869000,6614818.488,594482.351
47.04631,47.06387,59.6606999177,10.6768869000,6614818.488,594482.351
47.16485,47.06387,59.6606999177,10.6768869000,6614818.488,594482.351
47.33289,47.06387,59.6606999177,10.6768869000,6614818.488,594482.351
47.49906,47.06387,59.6606999177,10.6768869000,6614818.488,594482.351
47.67892,48.06248,59.6607017498,10.6768904833,6614818.697,594482.548
47.83186,48.06248,59.6607017498,10.6768904833,6614818.697,594482.548
48.03670,48.06248,59.6607017498,10.6768904833,6614818.697,594482.548
48.17752,48.06248,59.6607017498,10.6768904833,6614818.697,594482.548
48.32417,48.06248,59.6607017498,10.6768904833,6614818.697,594482.548
48.49246,48.06248,59.6607017498,10.6768904833,6614818.697,594482.548
48.65754,49.06658,59.6607035135,10.6768946183,6614818.900,594482.776
48.82605,49.06658,59.6607035135,10.6768946183,6614818.900,594482.776
48.99054,49.06658,59.6607035135,10.6768946183,6614818.900,594482.776
49.15429,49.06658,59.6607035135,10.6768946183,6614818.900,594482.776
49.31805,49.06658,59.6607035135,10.6768946183,6614818.900,594482.776
49.48409,49.06658,59.6607035135,10.6768946183,6614818.900,594482.776
49.65172,50.06339,59.6607053328,10.6768986417,6614819.108,594482.997
49.85232,50.06339,59.6607053328,10.6768986417,6614819.108,594482.997
49.98364,50.06339,59.6607053328,10.6768986417,6614819.108,594482.997
50.14694,50.06339,59.6607053328,10.6768986417,6614819.108,594482.997
50.31060,50.06339,59.6607053328,10.6768986417,6614819.108,594482.997
50.47733,50.06339,59.6607053328,10.6768986417,6614819.108,594482.997
50.64290,51.06533,59.6607071692,10.6769027583,6614819.318,594483.224
50.82339,51.06533,59.6607071692,10.6769027583,6614819.318,594483.224
51.02080,51.06533,59.6607071692,10.6769027583,6614819.318,594483.224
51.17494,51.06533,59.6607071692,10.6769027583,6614819.318,594483.224
51.30417,51.06533,59.6607071692,10.6769027583,6614819.318,594483.224
51.47218,51.06533,59.6607071692,10.6769027583,6614819.318,594483.224
51.64137,52.05995,59.6607090040,10.6769069200,6614819.528,594483.453
51.80276,52.05995,59.6607090040,10.6769069200,6614819.528,594483.453
51.99369,52.05995,59.6607090040,10.6769069200,6614819.528,594483.453
52.13348,52.05995,59.6607090040,10.6769069200,6614819.528,594483.453
52.29759,52.05995,59.6607090040,10.6769069200,6614819.528,594483.453
52.46585,52.05995,59.6607090040,10.6769069200,6614819.528,594483.453
52.63287,53.06279,59.6607108442,10.6769110783,6614819.739,594483.682
52.79792,53.06279,59.6607108442,10.6769110783,6614819.739,594483.682
53.00577,53.06279,59.6607108442,10.6769110783,6614819.739,594483.682
53.12858,53.06279,59.6607108442,10.6769110783,6614819.739,594483.682
53.29454,53.06279,59.6607108442,10.6769110783,6614819.739,594483.682
53.45967,53.06279,59.6607108442,10.6769110783,6614819.739,594483.682
53.62973,54.06248,59.6607118682,10.6769152967,6614819.859,594483.917
53.79542,54.06248,59.6607118682,10.6769152967,6614819.859,594483.917
53.96013,54.06248,59.6607118682,10.6769152967,6614819.859,594483.917
54.12678,54.06248,59.6607118682,10.6769152967,6614819.859,594483.917
54.29381,54.06248,59.6607118682,10.6769152967,6614819.859,594483.917
54.46139,54.06248,59.6607118682,10.6769152967,6614819.859,594483.917
54.63366,55.06199,59.6607123628,10.6769202567,6614819.921,594484.195
54.79394,55.06199,59.6607123628,10.6769202567,6614819.921,594484.195
54.96280,55.06199,59.6607123628,10.6769202567,6614819.921,594484.195
55.12826,55.06199,59.6607123628,10.6769202567,6614819.921,594484.195
55.29839,55.06199,59.6607123628,10.6769202567,6614819.921,594484.195
55.46195,55.06199,59.6607123628,10.6769202567,6614819.921,594484.195
55.63110,56.06421,59.6607137037,10.6769248117,6614820.077,594484.448
55.79609,56.06421,59.6607137037,10.6769248117,6614820.077,594484.448
55.96179,56.06421,59.6607137037,10.6769248117,6614820.077,594484.448
56.12940,56.06421,59.6607137037,10.6769248117,6614820.077,594484.448
56.29316,56.06421,59.6607137037,10.6769248117,6614820.077,594484.448
56.46326,56.06421,59.6607137037,10.6769248117,6614820.077,594484.448
56.63132,57.06449,59.6607148392,10.6769296467,6614820.210,594484.717
56.82748,57.06449,59.6607148392,10.6769296467,6614820.210,594484.717
56.96349,57.06449,59.6607148392,10.6769296467,6614820.210,594484.717
57.12801,57.06449,59.6607148392,10.6769296467,6614820.210,594484.717
57.29323,57.06449,59.6607148392,10.6769296467,6614820.210,594484.717
57.46012,57.06449,59.6607148392,10.6769296467,6614820.210,594484.717
57.62884,58.06060,59.6607163647,10.6769346117,6614820.387,594484.993
57.79797,58.06060,59.6607163647,10.6769346117,6614820.387,594484.993
57.95989,58.06060,59.6607163647,10.6769346117,6614820.387,594484.993
58.12782,58.06060,59.6607163647,10.6769346117,6614820.387,594484.993
58.29352,58.06060,59.6607163647,10.6769346117,6614820.387,594484.993
58.46267,58.06060,59.6607163647,10.6769346117,6614820.387,594484.993
58.63298,59.06049,59.6607180878,10.6769397100,6614820.586,594485.275
58.79382,59.06049,59.6607180878,10.6769397100,6614820.586,594485.275
58.96287,59.06049,59.6607180878,10.6769397100,6614820.586,594485.275
59.12789,59.06049,59.6607180878,10.6769397100,6614820.586,594485.275
59.31310,59.06049,59.6607180878,10.6769397100,6614820.586,594485.275
59.46310,59.06049,59.6607180878,10.6769397100,6614820.586,594485.275
59.62967,60.06373,59.6607197540,10.6769444250,6614820.779,594485.536
59.79773,60.06373,59.6607197540,10.6769444250,6614820.779,594485.536
59.96025,60.06373,59.6607197540,10.6769444250,6614820.779,594485.536
60.14496,60.06373,59.6607197540,10.6769444250,6614820.779,594485.536
60.29408,60.06373,59.6607197540,10.6769444250,6614820.779,594485.536
60.46207,60.06373,59.6607197540,10.6769444250,6614820.779,594485.536
60.63145,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
60.79465,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
60.96400,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
61.12738,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
61.29439,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
61.46147,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
61.62914,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
61.80714,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
61.96069,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
62.14774,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
62.29341,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
62.46180,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
62.62870,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
62.79688,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
62.96311,61.06398,59.6607213800,10.6769489133,6614820.966,594485.784
