Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
77.7599480152,59.6612124050,10.6751860483,6614873.1281607691,594385.0914206995
78.6933927536,59.6612142090,10.6751907917,6614873.3357604500,594385.3535675446
79.6544756889,59.6612159858,10.6751954867,6614873.5402667206,594385.6130678394
80.6409170628,59.6612178485,10.6752002850,6614873.7544765146,594385.8781481909
81.6410074234,59.6612195498,10.6752050817,6614873.9507213207,594386.1435880157
82.6813099384,59.6612212508,10.6752097100,6614874.1466896711,594386.3995456614
82.6813099384,59.6612230770,10.6752145450,6614874.3568878006,594386.6667941245
83.5739603043,59.6612249637,10.6752194167,6614874.5738740750,594386.9359381555
84.5742597580,59.6612267538,10.6752241467,6614874.7799147423,594387.1973725376
85.5729377270,59.6612284955,10.6752286283,6614874.9802023796,594387.4449532935
86.5713698864,59.6612302433,10.6752332567,6614875.1813851781,594387.7007791826
87.5968298912,59.6612320042,10.6752379717,6614875.3841386400,594387.9614508897
88.5830206871,59.6612339150,10.6752427083,6614875.6036237208,594388.2229216087
89.6213667393,59.6612358645,10.6752474300,6614875.8273925921,594388.4834386017
90.5960204601,59.6612376947,10.6752519617,6614876.0376048861,594388.7335872578
91.6057431698,59.6612393630,10.6752564383,6614876.2297206828,594388.9810922674
92.5781373978,59.6612411943,10.6752611550,6614876.4403259782,594389.2416595907
93.5905663967,59.6612429913,10.6752658550,6614876.6470849616,594389.5013844563
94.6035377979,59.6612448198,10.6752706400,6614876.8574720053,594389.7658092517
95.5750927925,59.6612466298,10.6752752100,6614877.0654935678,594390.0181739565
96.5748021603,59.6612485627,10.6752799750,6614877.2874685414,594390.2811787692
97.6132254601,59.6612504657,10.6752844200,6614877.5056668809,594390.5262401549
97.6132254601,59.6612519337,10.6752887200,6614877.6752267322,594390.7643554623
98.6256184578,59.6612537252,10.6752934717,6614877.8814469334,594391.0270062631
99.5982637405,59.6612555488,10.6752981283,6614878.0911134519,594391.2842147957
100.6106300354,59.6612573265,10.6753025133,6614878.2952720942,594391.5262482082
