Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
2.299644,-0.049822,-0.104416,0.165101,-0.165389,-0.395364,9.696208
2.299652,-0.049801,-0.104340,0.165195,-0.149295,-0.378639,9.753736
2.326484,-0.049835,-0.104216,0.165285,-0.003141,-0.338346,9.891345
2.326497,-0.049850,-0.104125,0.165422,0.120690,-0.389072,9.901282
2.326500,-0.049866,-0.104109,0.165563,0.142247,-0.449984,9.981236
2.366598,-0.049922,-0.104184,0.165784,0.367222,-0.354436,9.761788
2.366689,-0.050004,-0.104366,0.166006,0.498630,-0.398447,9.812953
2.366859,-0.050066,-0.104469,0.166217,0.672138,-0.399848,9.841024
2.393196,-0.050122,-0.104566,0.166400,0.887249,-0.450760,9.823286
2.393308,-0.050159,-0.104679,0.166576,1.019768,-0.559610,9.719706
2.393661,-0.050182,-0.104848,0.166717,1.175077,-0.543069,9.746836
2.393734,-0.050202,-0.104957,0.166863,1.256447,-0.561189,9.734052
2.406178,-0.050158,-0.105058,0.166949,1.327391,-0.614790,9.660799
2.406209,-0.050105,-0.105138,0.167015,1.328629,-0.609795,9.609397
2.433368,-0.050103,-0.105289,0.167041,1.444148,-0.596530,9.573802
2.446374,-0.050068,-0.105436,0.167072,1.668400,-0.538534,9.631207
2.446404,-0.050078,-0.105496,0.167062,1.564163,-0.593551,9.614297
2.446443,-0.050070,-0.105513,0.167064,1.558174,-0.574918,9.575293
2.459432,-0.050077,-0.105499,0.167043,1.560686,-0.587764,9.696524
2.459507,-0.050080,-0.105470,0.167016,1.421443,-0.627540,9.672367
2.486083,-0.050075,-0.105480,0.166946,1.466453,-0.570077,9.670522
2.512853,-0.050119,-0.105480,0.166911,1.413708,-0.587259,9.642979
2.512899,-0.050109,-0.105470,0.166865,1.208243,-0.564147,9.650586
2.539929,-0.050072,-0.105414,0.166824,1.317178,-0.524351,9.652681
2.539952,-0.050059,-0.105324,0.166729,1.301920,-0.548212,9.774871
2.540504,-0.050077,-0.105253,0.166698,1.150753,-0.512319,9.789658
2.552877,-0.050107,-0.105221,0.166699,1.398081,-0.453841,9.764994
2.553225,-0.050145,-0.105252,0.166702,1.142653,-0.452454,9.852162
