Img_Time(Sec),IMU_Time(Sec),Roll(rad),Pitch(rad),Yaw(rad)
60.83738,60.75458,-0.03294,-0.11095,0.16943
61.00600,60.95301,-0.03098,-0.10978,0.17187
61.17400,61.17950,-0.03222,-0.10841,0.17200
61.33996,61.32654,-0.03292,-0.10784,0.17294
61.50750,61.51336,-0.03356,-0.10799,0.17380
61.67211,61.68682,-0.03394,-0.10934,0.17459
61.86060,61.86048,-0.03329,-0.11003,0.17602
62.00762,62.00761,-0.03227,-0.10963,0.17811
62.17362,62.16755,-0.03189,-0.10893,0.17884
62.34123,62.34091,-0.03266,-0.10807,0.17971
62.50670,62.51426,-0.03328,-0.10831,0.17979
62.68008,62.67422,-0.03414,-0.10856,0.18011
62.84296,62.87470,-0.03589,-0.10949,0.18009
63.02681,63.00803,-0.03755,-0.10974,0.18223
63.18356,63.07468,-0.03750,-0.10980,0.18240
63.34053,63.07468,-0.03750,-0.10980,0.18240
63.51071,63.61167,-0.03747,-0.10988,0.18257
63.68674,63.67588,-0.03605,-0.11015,0.18782
63.84098,63.84872,-0.03604,-0.11008,0.18841
64.00933,64.02056,-0.03497,-0.11024,0.18834
64.18183,64.21072,-0.03713,-0.11105,0.18838
64.34430,64.31551,-0.04005,-0.11150,0.18886
64.52801,64.52897,-0.03885,-0.11362,0.18768
64.60296,64.60910,-0.03804,-0.11479,0.18785
64.76480,64.75617,-0.03608,-0.11855,0.18790
64.97739,64.98267,-0.03525,-0.11993,0.18703
65.09642,65.09055,-0.03426,-0.12071,0.18085
65.30276,65.30342,-0.03390,-0.12088,0.16857
65.46021,65.45031,-0.03488,-0.12166,0.15766
65.59046,65.59656,-0.03566,-0.12235,0.15561
65.75861,65.74318,-0.03366,-0.12203,0.15648
65.92651,65.91677,-0.02975,-0.12296,0.15891
66.10087,66.11699,-0.02786,-0.12284,0.16147
66.30713,66.30388,-0.02912,-0.12264,0.16256
66.41948,66.41053,-0.02984,-0.12198,0.16324
66.61914,66.61144,-0.03064,-0.12225,0.16420
66.75265,66.74388,-0.03198,-0.12231,0.16494
66.92723,66.94463,-0.03523,-0.12178,0.16599
67.08355,67.07756,-0.03590,-0.11850,0.16801
67.25021,67.26430,-0.03498,-0.11802,0.16907
67.41629,67.41147,-0.03307,-0.11797,0.17012
67.58180,67.57157,-0.03203,-0.11824,0.17177
67.74846,67.74513,-0.03209,-0.11745,0.17337
67.91443,67.91872,-0.03248,-0.11866,0.17422
68.09324,68.09302,-0.03214,-0.11690,0.17545
