Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
272.45094,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
272.60894,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
272.77604,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
272.94564,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
273.13668,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
273.27597,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
273.47547,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
273.60970,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
273.77775,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
273.95237,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
274.10945,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
274.27706,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
274.44369,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
274.61210,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
274.77728,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
274.94625,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
275.12822,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
275.27669,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
275.27669,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
275.45979,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
275.61028,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
275.78013,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
275.94236,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
276.11040,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
276.27657,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
276.45983,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
276.61114,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
276.77802,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
276.95832,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
277.12968,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
277.27858,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
277.44328,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
277.61228,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
277.77849,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
277.94459,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
278.13001,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
278.27604,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
278.44246,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
278.60955,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
278.79941,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
278.94369,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
279.11043,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
279.27604,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
279.44253,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
279.61026,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
279.78033,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
279.94426,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
280.11135,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
280.29160,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
280.44412,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
280.61020,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
280.77670,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
280.94759,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
281.11003,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
281.27830,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
281.44255,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
281.61095,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
281.77620,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
281.94479,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
282.12774,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
282.27836,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
282.44361,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
282.61063,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
282.77848,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
282.94367,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
283.11069,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
283.27764,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
283.44307,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
283.61282,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
283.79150,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
283.86700,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
284.03723,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
284.19689,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
284.40930,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
284.52843,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
284.71763,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
284.85680,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
285.05593,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
285.18902,275.49186,59.6611819017,10.6750659083,6614869.561,594378.409
