Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
75.3860118389,59.6615806275,10.6760899200,6614915.4111489411,594434.9758323653
76.3787670135,59.6615786168,10.6760851333,6614915.1804740876,594434.7118311761
77.3782429695,59.6615766473,10.6760804983,6614914.9545984697,594434.4562582783
78.3976938725,59.6615749600,10.6760759567,6614914.7602717048,594434.2051498540
78.3976938725,59.6615729573,10.6760711517,6614914.5304615339,594433.9400932761
79.3797559738,59.6615710908,10.6760662183,6614914.3156294161,594433.6674241939
80.3904044628,59.6615690163,10.6760614700,6614914.0779020768,594433.4057618217
81.3802857399,59.6615670197,10.6760568300,6614913.8489947366,594433.1499834817
82.4665169716,59.6615650763,10.6760520150,6614913.6257765079,594432.8841965984
83.4489662647,59.6615630700,10.6760473283,6614913.3957265392,594432.6258164279
84.3821220398,59.6615611415,10.6760426000,6614913.1742831673,594432.3648701052
85.3896980286,59.6615592318,10.6760378283,6614912.9548750436,594432.1014296317
86.3890204430,59.6615572438,10.6760330667,6614912.7267596405,594431.8387727232
87.3850884438,59.6615552228,10.6760283400,6614912.4950198727,594431.5781802796
88.3878719807,59.6615533582,10.6760237717,6614912.2809113152,594431.3260678895
89.3821895123,59.6615517192,10.6760192217,6614912.0919542769,594431.0743537692
90.3859786987,59.6615497463,10.6760145517,6614911.8656579899,594430.8168180994
91.3832564354,59.6615478177,10.6760095467,6614911.6438025953,594430.5402861201
92.3866703510,59.6615458577,10.6760045600,6614911.4184846915,594430.2648750079
93.3811559677,59.6615438138,10.6759998633,6614911.1842454830,594430.0060366126
93.3811559677,59.6615418420,10.6759951167,6614910.9579515457,594429.7441790154
94.4111323357,59.6615400937,10.6759905700,6614910.7568263300,594429.4929599130
95.3978903294,59.6615380958,10.6759857567,6614910.5275427829,594429.2274197147
96.3987216949,59.6615361737,10.6759810117,6614910.3067810861,594428.9655162717
97.4117097855,59.6615342625,10.6759762000,6614910.0871492950,594428.6998262273
98.3845231533,59.6615323323,10.6759712800,6614909.8652479742,594428.4280866524
99.3819582462,59.6615302960,10.6759666067,6614909.6318771262,594428.1705414215
100.3854610920,59.6615285095,10.6759619900,6614909.4264030149,594427.9154860283
101.3834102154,59.6615265155,10.6759571750,6614909.1975440048,594427.6498409692
102.3830642700,59.6615245290,10.6759524950,6614908.9697121074,594427.3917799693
103.3962340355,59.6615226823,10.6759477400,6614908.7573423833,594427.1291006887
104.3828494549,59.6615207670,10.6759430333,6614908.5373961823,594426.8693372800
105.5366055965,59.6615188487,10.6759379850,6614908.3166299434,594426.5903345979
106.4577784538,59.6615169837,10.6759330800,6614908.1020056810,594426.3192565702
107.6875042915,59.6615150503,10.6759282617,6614907.8798965923,594426.0532529705
108.6081492901,59.6615130637,10.6759234783,6614907.6518992502,594425.7893710003
108.6081492901,59.6615111802,10.6759187950,6614907.4355306160,594425.5308324118
109.6835761070,59.6615093645,10.6759139850,6614907.2265342847,594425.2649673533
110.6469302177,59.6615074190,10.6759090917,6614907.0029639602,594424.9947727334
111.6460847855,59.6615055798,10.6759041400,6614906.7911496786,594424.7209929365
112.6111764908,59.6615036635,10.6758992983,6614906.5709002679,594424.4536268769
