Time(Sec), LO(m), AO(deg)
134.0000000000,0.0245745958,-0.1651361211
135.0000000000,0.0397615400,-0.4214387802
136.0000000000,0.0585211017,-2.2521616233
137.0000000000,0.0679060909,-1.1655507419
138.0000000000,0.0541160402,0.3632920919
139.0000000000,0.0486307252,0.6926800223
140.0000000000,0.0584768476,0.9738092712
141.0000000000,0.0280265809,3.8505814632
142.0000000000,0.0004054672,3.4797511269
143.0000000000,0.0137118393,1.7101734160
144.0000000000,-0.0286998393,0.1073179979
145.0000000000,-0.0356329198,0.8502683063
146.0000000000,-0.0181109851,-0.4211347214
147.0000000000,-0.0174616253,-0.0793947644
148.0000000000,-0.0212391709,0.4673806338
149.0000000000,-0.0245018088,0.9135049699
150.0000000000,0.0115700827,-1.6366837128
151.0000000000,-0.0185801657,0.8868609325
152.0000000000,-0.0029330165,-3.5787799756
153.0000000000,-0.0063385062,0.4490946980
154.0000000000,0.0039311470,0.9668122990
155.0000000000,0.0017617981,0.7121389203
156.0000000000,0.0013145678,-0.0525910810
157.0000000000,-0.0005145204,-0.6873116995
158.0000000000,-0.0008872793,0.1677643056
159.0000000000,-0.0021287253,1.0522579114
160.0000000000,-0.0297154260,3.4493284594
161.0000000000,-0.0490499706,2.3608933401
162.0000000000,-0.0426599341,-0.6550155212
163.0000000000,-0.0856673743,5.7944887647
164.0000000000,-0.0768210022,-3.0218959632
165.0000000000,-0.0747764774,-0.2489237880
166.0000000000,-0.0591806529,-1.8639146976
167.0000000000,0.0215631969,-3.2429427138
168.0000000000,0.0101850866,-3.9366452814
169.0000000000,0.0182804243,-1.0551411924
170.0000000000,-0.0180309102,-3.0967739289
171.0000000000,0.0395262630,-2.6056888981
172.0000000000,0.0811202204,-0.5983230941
173.0000000000,0.0759936721,0.6657902675
174.0000000000,0.0902816130,-1.7491219996
175.0000000000,0.0850847503,-0.5180092322
176.0000000000,0.0702655016,1.8362643667
177.0000000000,0.0703620870,1.2499194962
178.0000000000,0.0671252167,0.4213286775
179.0000000000,0.0462733332,1.8921550204
180.0000000000,0.0483578765,-0.2672021024
181.0000000000,0.0412274653,0.8991443354
182.0000000000,0.0199328034,1.6753167787
183.0000000000,0.0193136365,0.0778157695
184.0000000000,0.0162771704,0.3897006264
185.0000000000,0.0330682279,-1.8118664744
186.0000000000,0.0488534986,-2.0604411977
187.0000000000,0.0513634461,-0.9635981945
188.0000000000,0.0540856199,-0.3460950040
189.0000000000,0.0611604616,-0.9134658074
190.0000000000,0.0600902023,2.3098302948
191.0000000000,0.0315839986,3.7499091630
192.0000000000,-0.0043099910,3.7080217107
193.0000000000,0.0127958569,2.5428554281
194.0000000000,-0.0583218442,6.3562963579
195.0000000000,-0.0269228064,-3.7920018558
196.0000000000,-0.0505438371,0.4145591463
197.0000000000,-0.0343160814,-2.0145275800
198.0000000000,-0.0283799246,-0.7595017532
199.0000000000,-0.0149822376,0.3890794588
200.0000000000,-0.0251576006,1.3248397366
201.0000000000,-0.0155863377,-3.0167059268
202.0000000000,0.0173327552,-4.2013499287
203.0000000000,0.0363925936,-2.4531794445
204.0000000000,0.0486275044,-2.5071830398
205.0000000000,0.0718520996,-3.1350234385
206.0000000000,0.0702235723,3.1951032618
207.0000000000,0.0691015995,0.1469844835
208.0000000000,0.0593250442,1.2045819112
209.0000000000,0.0661152549,0.9857945918
210.0000000000,0.0532739939,1.6769857311
211.0000000000,0.0631164216,-2.4325982523
212.0000000000,0.0659425237,-0.4113012758
213.0000000000,0.0000000000,46.7714932914
214.0000000000,0.0000000000,49.7116629043
215.0000000000,0.0000000000,45.7837268982
216.0000000000,0.0000000000,43.2254197741
217.0000000000,0.0000000000,62.3188683933
218.0000000000,0.0000000000,-129.9768018886
219.0000000000,0.0000000000,59.5626238017
220.0000000000,0.0000000000,-138.6013850450
221.0000000000,0.0000000000,121.8252677058
222.0000000000,0.0000000000,30.3038053662
223.0000000000,0.0000000000,-47.8127718208
